area,Average_Speed,Vehicle_Density,Hour_of_Day,Day_of_Week,Is_Peak_Hour,Weather_Condition
Hinjewadi,34.44290595040598,461.5,15,Fri,0,Clear
Swargate,43.05363243800747,312.40000000000003,15,Fri,0,Clear
University Circle,34.44290595040598,397.59999999999997,15,Fri,0,Clear
Hadapsar,51.66435892560896,255.6,15,Fri,0,Clear
Kothrud,60.275085413210455,213.0,15,Fri,0,Clear
Hinjewadi,14.89481303282336,450.0,21,Mon,1,Clear
Swargate,18.6185162910292,396.00000000000006,21,Mon,1,Clear
University Circle,14.89481303282336,503.99999999999994,21,Mon,1,Clear
Hadapsar,22.342219549235036,324.0,21,Mon,0,Clear
Kothrud,26.065922807440877,270.0,21,Mon,1,Clear
Hinjewadi,9.636806579852724,170.0,2,Tue,0,Clear
Swargate,12.046008224815905,149.60000000000002,2,Tue,0,Clear
University Circle,9.636806579852724,190.39999999999998,2,Tue,0,Clear
Hadapsar,15.0,122.4,2,Tue,0,Clear
Kothrud,18.0,102.0,2,Tue,0,Clear
Hinjewadi,13.781041321961704,72.5,7,Tue,0,Clear
Swargate,17.22630165245213,63.800000000000004,7,Tue,0,Clear
University Circle,13.781041321961704,81.19999999999999,7,Tue,0,Clear
Hadapsar,20.671561982942553,52.2,7,Tue,0,Clear
Kothrud,24.11682231343298,43.5,7,Tue,0,Clear
Hinjewadi,32.97169609622022,357.5,9,Fri,1,Foggy
Swargate,41.21462012027527,242.00000000000003,9,Fri,1,Foggy
University Circle,32.97169609622022,308.0,9,Fri,1,Foggy
Hadapsar,49.45754414433032,198.0,9,Fri,1,Foggy
Kothrud,57.70046816838538,165.0,9,Fri,1,Foggy
Hinjewadi,19.721164358608714,100.75,13,Fri,0,Clear
Swargate,24.65145544826089,68.2,13,Fri,1,Clear
University Circle,19.721164358608714,86.8,13,Fri,0,Clear
Hadapsar,29.581746537913066,55.800000000000004,13,Fri,0,Clear
Kothrud,34.51203762756524,46.5,13,Fri,0,Clear
Hinjewadi,29.32503375023741,140.0,20,Sun,1,Clear
Swargate,36.65629218779676,172.48000000000002,20,Sun,1,Clear
University Circle,29.32503375023741,156.79999999999998,20,Sun,1,Clear
Hadapsar,43.98755062535611,80.64,20,Sun,1,Clear
Kothrud,51.318809062915456,105.0,20,Sun,1,Clear
Hinjewadi,4.785229141834464,342.5,13,Sat,0,Rainy
Swargate,8.972304640939619,301.40000000000003,13,Sat,1,Rainy
University Circle,3.588921856375848,383.59999999999997,13,Sat,0,Rainy
Hadapsar,8.972304640939619,197.28,13,Sat,0,Rainy
Kothrud,14.654764246868043,256.875,13,Sat,0,Rainy
Hinjewadi,39.69063372139675,145.0,16,Wed,0,Foggy
Swargate,49.61329215174593,127.60000000000001,16,Wed,1,Foggy
University Circle,39.69063372139675,162.39999999999998,16,Wed,0,Foggy
Hadapsar,59.53595058209511,104.4,16,Wed,0,Foggy
Kothrud,69.4586090124443,87.0,16,Wed,0,Foggy
Hinjewadi,38.62831464127348,157.5,0,Wed,0,Clear
Swargate,48.28539330159184,138.60000000000002,0,Wed,0,Clear
University Circle,38.62831464127348,176.39999999999998,0,Wed,0,Clear
Hadapsar,57.9424719619102,113.4,0,Wed,0,Clear
Kothrud,67.59955062222856,94.5,0,Wed,0,Clear
Hinjewadi,13.75323542533823,110.0,22,Tue,0,Rainy
Swargate,25.787316422509175,96.80000000000001,22,Tue,0,Rainy
University Circle,10.314926569003672,123.19999999999999,22,Tue,0,Rainy
Hadapsar,25.787316422509175,79.2,22,Tue,0,Rainy
Kothrud,42.11928349009832,66.0,22,Tue,0,Rainy
Hinjewadi,9.572748491045665,182.5,22,Sun,0,Foggy
Swargate,12.0,224.84,22,Sun,0,Foggy
University Circle,9.572748491045665,204.39999999999998,22,Sun,0,Foggy
Hadapsar,15.0,105.12,22,Sun,0,Foggy
Kothrud,18.0,136.875,22,Sun,0,Foggy
Hinjewadi,8.51290100656394,235.0,14,Tue,0,Clear
Swargate,12.0,206.8,14,Tue,0,Clear
University Circle,8.51290100656394,263.2,14,Tue,0,Clear
Hadapsar,15.0,169.20000000000002,14,Tue,0,Clear
Kothrud,18.0,141.0,14,Tue,0,Clear
Hinjewadi,13.94486255035865,350.0,17,Sat,1,Clear
Swargate,17.431078187948312,308.0,17,Sat,1,Clear
University Circle,13.94486255035865,392.0,17,Sat,1,Clear
Hadapsar,20.917293825537975,201.60000000000002,17,Sat,1,Clear
Kothrud,24.403509463127637,262.5,17,Sat,0,Clear
Hinjewadi,8.289231010537348,380.0,1,Sat,0,Foggy
Swargate,12.0,334.40000000000003,1,Sat,0,Foggy
University Circle,8.289231010537348,425.59999999999997,1,Sat,0,Foggy
Hadapsar,15.0,218.88000000000002,1,Sat,0,Foggy
Kothrud,18.0,285.0,1,Sat,0,Foggy
Hinjewadi,29.567814660663373,227.5,20,Fri,1,Clear
Swargate,36.95976832582922,154.0,20,Fri,1,Clear
University Circle,29.567814660663373,196.0,20,Fri,1,Clear
Hadapsar,44.35172199099506,126.0,20,Fri,1,Clear
Kothrud,51.7436756561609,105.0,20,Fri,1,Clear
Hinjewadi,16.074071556324895,162.5,4,Sat,0,Clear
Swargate,20.09258944540612,143.0,4,Sat,0,Clear
University Circle,16.074071556324895,182.0,4,Sat,0,Clear
Hadapsar,24.111107334487343,93.60000000000001,4,Sat,0,Clear
Kothrud,28.129625223568564,121.875,4,Sat,0,Clear
Hinjewadi,27.531616250181028,62.5,9,Thu,1,Foggy
Swargate,34.41452031272628,55.00000000000001,9,Thu,1,Foggy
University Circle,27.531616250181028,70.0,9,Thu,1,Foggy
Hadapsar,41.29742437527154,45.0,9,Thu,1,Foggy
Kothrud,48.18032843781679,37.5,9,Thu,1,Foggy
Hinjewadi,10.413189631769226,165.0,6,Sun,0,Clear
Swargate,13.016487039711532,203.28,6,Sun,0,Clear
University Circle,10.413189631769226,184.79999999999998,6,Sun,0,Clear
Hadapsar,15.619784447653837,95.04,6,Sun,0,Clear
Kothrud,18.223081855596142,123.75,6,Sun,0,Clear
Hinjewadi,23.009303920580926,110.0,3,Sat,0,Clear
Swargate,28.761629900726156,96.80000000000001,3,Sat,0,Clear
University Circle,23.009303920580926,123.19999999999999,3,Sat,0,Clear
Hadapsar,34.513955880871386,63.36000000000001,3,Sat,0,Clear
Kothrud,40.266281861016616,82.5,3,Sat,0,Clear
Hinjewadi,16.993592005340453,132.5,15,Wed,0,Clear
Swargate,21.241990006675564,116.60000000000001,15,Wed,0,Clear
University Circle,16.993592005340453,148.39999999999998,15,Wed,0,Clear
Hadapsar,25.490388008010676,95.4,15,Wed,0,Clear
Kothrud,29.738786009345787,79.5,15,Wed,0,Clear
Hinjewadi,14.025680797347405,572.0,8,Fri,1,Clear
Swargate,17.532100996684257,387.20000000000005,8,Fri,0,Clear
University Circle,14.025680797347405,492.79999999999995,8,Fri,1,Clear
Hadapsar,21.038521196021108,316.8,8,Fri,0,Clear
Kothrud,24.54494139535796,264.0,8,Fri,0,Clear
Hinjewadi,34.07807131329726,57.5,10,Mon,1,Clear
Swargate,42.59758914162157,50.6,10,Mon,1,Clear
University Circle,34.07807131329726,64.39999999999999,10,Mon,1,Clear
Hadapsar,51.11710696994588,41.4,10,Mon,1,Clear
Kothrud,59.63662479827019,34.5,10,Mon,1,Clear
Hinjewadi,34.26716829642012,307.5,10,Sun,1,Clear
Swargate,42.83396037052515,378.84000000000003,10,Sun,1,Clear
University Circle,34.26716829642012,344.4,10,Sun,1,Clear
Hadapsar,51.40075244463018,177.12,10,Sun,1,Clear
Kothrud,59.9675445187352,230.625,10,Sun,1,Clear
Hinjewadi,24.028051388467176,182.5,16,Tue,0,Clear
Swargate,30.035064235583967,160.60000000000002,16,Tue,1,Clear
University Circle,24.028051388467176,204.39999999999998,16,Tue,0,Clear
Hadapsar,36.04207708270076,131.4,16,Tue,0,Clear
Kothrud,42.04908992981755,109.5,16,Tue,0,Clear
Hinjewadi,34.76615015903583,265.0,13,Sat,0,Clear
Swargate,43.457687698794786,233.20000000000002,13,Sat,1,Clear
University Circle,34.76615015903583,296.79999999999995,13,Sat,0,Clear
Hadapsar,52.14922523855374,152.64000000000001,13,Sat,0,Clear
Kothrud,60.840762778312694,198.75,13,Sat,0,Clear
Hinjewadi,26.05036892267257,646.75,4,Fri,0,Clear
Swargate,32.56296115334071,437.8,4,Fri,0,Clear
University Circle,26.05036892267257,557.1999999999999,4,Fri,0,Clear
Hadapsar,39.07555338400885,358.2,4,Fri,0,Clear
Kothrud,45.58814561467699,298.5,4,Fri,0,Clear
Hinjewadi,22.25733243974051,430.0,18,Sun,1,Foggy
Swargate,27.821665549675636,529.76,18,Sun,1,Foggy
University Circle,22.25733243974051,481.59999999999997,18,Sun,1,Foggy
Hadapsar,33.38599865961076,247.68000000000004,18,Sun,1,Foggy
Kothrud,38.95033176954589,322.5,18,Sun,1,Foggy
Hinjewadi,39.358574315464914,180.0,21,Tue,1,Clear
Swargate,49.19821789433114,158.4,21,Tue,1,Clear
University Circle,39.358574315464914,201.6,21,Tue,1,Clear
Hadapsar,59.03786147319736,129.6,21,Tue,0,Clear
Kothrud,68.87750505206358,108.0,21,Tue,1,Clear
Hinjewadi,19.920285809710908,177.5,16,Sun,0,Foggy
Swargate,24.900357262138634,218.68,16,Sun,1,Foggy
University Circle,19.920285809710908,198.79999999999998,16,Sun,0,Foggy
Hadapsar,29.88042871456636,102.24000000000001,16,Sun,0,Foggy
Kothrud,34.860500166994086,133.125,16,Sun,0,Foggy
Hinjewadi,21.00372496887877,71.5,10,Fri,1,Clear
Swargate,26.25465621109846,48.400000000000006,10,Fri,1,Clear
University Circle,21.00372496887877,61.599999999999994,10,Fri,1,Clear
Hadapsar,31.50558745331815,39.6,10,Fri,1,Clear
Kothrud,36.75651869553784,33.0,10,Fri,1,Clear
Hinjewadi,13.659240217799491,362.5,7,Mon,0,Rainy
Swargate,25.611075408374045,319.0,7,Mon,0,Rainy
University Circle,10.244430163349618,406.0,7,Mon,0,Rainy
Hadapsar,25.611075408374045,261.0,7,Mon,0,Rainy
Kothrud,41.83142316701093,217.5,7,Mon,0,Rainy
Hinjewadi,30.23849981897753,427.5,16,Sat,0,Clear
Swargate,37.79812477372191,376.20000000000005,16,Sat,1,Clear
University Circle,30.23849981897753,478.79999999999995,16,Sat,0,Clear
Hadapsar,45.35774972846629,246.24,16,Sat,0,Clear
Kothrud,52.91737468321067,320.625,16,Sat,0,Clear
Hinjewadi,6.010290217341465,465.0,22,Sat,0,Rainy
Swargate,11.269294157515246,409.20000000000005,22,Sat,0,Rainy
University Circle,4.507717663006098,520.8,22,Sat,0,Rainy
Hadapsar,11.269294157515246,267.84000000000003,22,Sat,0,Rainy
Kothrud,18.406513790608233,348.75,22,Sat,0,Rainy
Hinjewadi,7.070969744365266,395.0,5,Wed,0,Rainy
Swargate,13.258068270684873,347.6,5,Wed,0,Rainy
University Circle,5.303227308273949,442.4,5,Wed,0,Rainy
Hadapsar,13.258068270684873,284.40000000000003,5,Wed,0,Rainy
Kothrud,21.654844842118624,237.0,5,Wed,0,Rainy
Hinjewadi,37.146440469962094,52.5,22,Tue,0,Foggy
Swargate,46.43305058745261,46.2,22,Tue,0,Foggy
University Circle,37.146440469962094,58.8,22,Tue,0,Foggy
Hadapsar,55.71966070494313,37.800000000000004,22,Tue,0,Foggy
Kothrud,65.00627082243365,31.5,22,Tue,0,Foggy
Hinjewadi,30.155337796941254,100.0,20,Sat,1,Clear
Swargate,37.694172246176564,88.0,20,Sat,1,Clear
University Circle,30.155337796941254,112.0,20,Sat,1,Clear
Hadapsar,45.23300669541187,57.6,20,Sat,1,Clear
Kothrud,52.77184114464718,75.0,20,Sat,1,Clear
Hinjewadi,5.661641891639687,292.5,23,Tue,0,Rainy
Swargate,10.615578546824413,257.40000000000003,23,Tue,0,Rainy
University Circle,4.2462314187297645,327.59999999999997,23,Tue,0,Rainy
Hadapsar,10.615578546824413,210.6,23,Tue,0,Rainy
Kothrud,17.33877829314654,175.5,23,Tue,0,Rainy
Hinjewadi,11.735932888601457,465.0,10,Sat,1,Clear
Swargate,14.66991611075182,409.20000000000005,10,Sat,1,Clear
University Circle,11.735932888601457,520.8,10,Sat,1,Clear
Hadapsar,17.603899332902184,267.84000000000003,10,Sat,1,Clear
Kothrud,20.537882555052548,348.75,10,Sat,1,Clear
Hinjewadi,17.132930190829523,117.5,6,Sat,0,Clear
Swargate,21.4161627385369,103.4,6,Sat,0,Clear
University Circle,17.132930190829523,131.6,6,Sat,0,Clear
Hadapsar,25.69939528624428,67.68,6,Sat,0,Clear
Kothrud,29.98262783395166,88.125,6,Sat,0,Clear
Hinjewadi,19.90954416790071,310.0,22,Sun,0,Foggy
Swargate,24.886930209875885,381.92,22,Sun,0,Foggy
University Circle,19.90954416790071,347.2,22,Sun,0,Foggy
Hadapsar,29.86431625185106,178.56000000000003,22,Sun,0,Foggy
Kothrud,34.84170229382624,232.5,22,Sun,0,Foggy
Hinjewadi,35.659720526591144,275.0,20,Wed,1,Clear
Swargate,44.57465065823893,242.00000000000003,20,Wed,1,Clear
University Circle,35.659720526591144,308.0,20,Wed,1,Clear
Hadapsar,53.489580789886716,198.0,20,Wed,1,Clear
Kothrud,62.404510921534495,165.0,20,Wed,1,Clear
Hinjewadi,13.627200717131743,470.0,2,Tue,0,Rainy
Swargate,25.551001344622012,413.6,2,Tue,0,Rainy
University Circle,10.220400537848807,526.4,2,Tue,0,Rainy
Hadapsar,25.551001344622012,338.40000000000003,2,Tue,0,Rainy
Kothrud,41.73330219621595,282.0,2,Tue,0,Rainy
Hinjewadi,14.530060433491219,643.5,10,Fri,1,Clear
Swargate,18.162575541864022,435.6,10,Fri,1,Clear
University Circle,14.530060433491219,554.4,10,Fri,1,Clear
Hadapsar,21.795090650236826,356.40000000000003,10,Fri,1,Clear
Kothrud,25.42760575860963,297.0,10,Fri,1,Clear
Hinjewadi,15.837902829818189,140.0,10,Mon,1,Rainy
Swargate,29.696067805909102,123.20000000000002,10,Mon,1,Rainy
University Circle,11.878427122363641,156.79999999999998,10,Mon,1,Rainy
Hadapsar,29.696067805909102,100.8,10,Mon,1,Rainy
Kothrud,48.503577416318194,84.0,10,Mon,1,Rainy
Hinjewadi,39.89917709700609,140.0,14,Thu,0,Foggy
Swargate,49.8739713712576,123.20000000000002,14,Thu,0,Foggy
University Circle,39.89917709700609,156.79999999999998,14,Thu,0,Foggy
Hadapsar,59.84876564550912,100.8,14,Thu,0,Foggy
Kothrud,69.82355991976064,84.0,14,Thu,0,Foggy
Hinjewadi,34.755766502631964,315.0,20,Thu,1,Clear
Swargate,43.44470812828995,277.20000000000005,20,Thu,1,Clear
University Circle,34.755766502631964,352.79999999999995,20,Thu,1,Clear
Hadapsar,52.13364975394794,226.8,20,Thu,1,Clear
Kothrud,60.82259137960593,189.0,20,Thu,1,Clear
Hinjewadi,25.565108212482297,468.0,10,Fri,1,Clear
Swargate,31.95638526560287,316.8,10,Fri,1,Clear
University Circle,25.565108212482297,403.2,10,Fri,1,Clear
Hadapsar,38.347662318723444,259.2,10,Fri,1,Clear
Kothrud,44.73893937184401,216.0,10,Fri,1,Clear
Hinjewadi,20.131009557501958,282.5,16,Tue,0,Clear
Swargate,25.163761946877447,248.60000000000002,16,Tue,1,Clear
University Circle,20.131009557501958,316.4,16,Tue,0,Clear
Hadapsar,30.196514336252935,203.4,16,Tue,0,Clear
Kothrud,35.22926672562842,169.5,16,Tue,0,Clear
Hinjewadi,15.213181228456072,412.75,14,Fri,0,Rainy
Swargate,28.524714803355135,279.40000000000003,14,Fri,0,Rainy
University Circle,11.409885921342052,355.59999999999997,14,Fri,0,Rainy
Hadapsar,28.524714803355135,228.6,14,Fri,0,Rainy
Kothrud,46.59036751214671,190.5,14,Fri,0,Rainy
Hinjewadi,32.89551909026998,440.0,10,Mon,1,Clear
Swargate,41.11939886283747,387.20000000000005,10,Mon,1,Clear
University Circle,32.89551909026998,492.79999999999995,10,Mon,1,Clear
Hadapsar,49.343278635404964,316.8,10,Mon,1,Clear
Kothrud,57.56715840797246,264.0,10,Mon,1,Clear
Hinjewadi,37.83254028547111,318.5,0,Fri,0,Clear
Swargate,47.29067535683889,215.60000000000002,0,Fri,0,Clear
University Circle,37.83254028547111,274.4,0,Fri,0,Clear
Hadapsar,56.74881042820667,176.4,0,Fri,0,Clear
Kothrud,66.20694549957445,147.0,0,Fri,0,Clear
Hinjewadi,9.858942466571193,280.0,4,Sun,0,Clear
Swargate,12.323678083213991,344.96000000000004,4,Sun,0,Clear
University Circle,9.858942466571193,313.59999999999997,4,Sun,0,Clear
Hadapsar,15.0,161.28,4,Sun,0,Clear
Kothrud,18.0,210.0,4,Sun,0,Clear
Hinjewadi,10.63271437686598,135.0,14,Tue,0,Clear
Swargate,13.290892971082474,118.80000000000001,14,Tue,0,Clear
University Circle,10.63271437686598,151.2,14,Tue,0,Clear
Hadapsar,15.949071565298969,97.2,14,Tue,0,Clear
Kothrud,18.607250159515463,81.0,14,Tue,0,Clear
Hinjewadi,26.584594675661492,42.5,9,Sat,1,Clear
Swargate,33.230743344576865,37.400000000000006,9,Sat,1,Clear
University Circle,26.584594675661492,47.599999999999994,9,Sat,1,Clear
Hadapsar,39.87689201349224,24.480000000000004,9,Sat,1,Clear
Kothrud,46.52304068240761,31.875,9,Sat,1,Clear
Hinjewadi,13.42020486465524,475.0,9,Sat,1,Rainy
Swargate,25.162884121228572,418.00000000000006,9,Sat,1,Rainy
University Circle,10.065153648491428,532.0,9,Sat,1,Rainy
Hadapsar,25.162884121228572,273.6,9,Sat,1,Rainy
Kothrud,41.09937739800666,356.25,9,Sat,1,Rainy
Hinjewadi,4.350423702222857,160.0,2,Mon,0,Rainy
Swargate,8.157044441667855,140.8,2,Mon,0,Rainy
University Circle,3.2628177766671422,179.2,2,Mon,0,Rainy
Hadapsar,8.157044441667855,115.2,2,Mon,0,Rainy
Kothrud,13.323172588057496,96.0,2,Mon,0,Rainy
Hinjewadi,10.867770715524886,55.0,23,Wed,0,Rainy
Swargate,20.37707009160916,48.400000000000006,23,Wed,0,Rainy
University Circle,8.150828036643663,61.599999999999994,23,Wed,0,Rainy
Hadapsar,20.37707009160916,39.6,23,Wed,0,Rainy
Kothrud,33.28254781629495,33.0,23,Wed,0,Rainy
Hinjewadi,9.985176436121009,322.5,19,Sun,1,Foggy
Swargate,12.48147054515126,397.32,19,Sun,1,Foggy
University Circle,9.985176436121009,361.2,19,Sun,1,Foggy
Hadapsar,15.0,185.76000000000002,19,Sun,1,Foggy
Kothrud,18.0,241.875,19,Sun,1,Foggy
Hinjewadi,10.606310812517094,214.5,18,Fri,1,Clear
Swargate,13.257888515646366,145.20000000000002,18,Fri,1,Clear
University Circle,10.606310812517094,184.79999999999998,18,Fri,1,Clear
Hadapsar,15.909466218775638,118.8,18,Fri,1,Clear
Kothrud,18.56104392190491,99.0,18,Fri,1,Clear
Hinjewadi,31.947387317303676,132.5,17,Sat,1,Clear
Swargate,39.93423414662959,116.60000000000001,17,Sat,1,Clear
University Circle,31.947387317303676,148.39999999999998,17,Sat,1,Clear
Hadapsar,47.92108097595551,76.32000000000001,17,Sat,1,Clear
Kothrud,55.907927805281425,99.375,17,Sat,0,Clear
Hinjewadi,10.115832406547197,230.75,13,Fri,0,Rainy
Swargate,18.96718576227599,156.20000000000002,13,Fri,1,Rainy
University Circle,7.586874304910396,198.79999999999998,13,Fri,0,Rainy
Hadapsar,18.96718576227599,127.8,13,Fri,0,Rainy
Kothrud,30.97973674505078,106.5,13,Fri,0,Rainy
Hinjewadi,15.499777880688953,355.0,16,Wed,0,Rainy
Swargate,29.062083526291786,312.40000000000003,16,Wed,1,Rainy
University Circle,11.624833410516715,397.59999999999997,16,Wed,0,Rainy
Hadapsar,29.062083526291786,255.6,16,Wed,0,Rainy
Kothrud,47.46806975960992,213.0,16,Wed,0,Rainy
Hinjewadi,16.263258024319455,110.0,7,Tue,0,Clear
Swargate,20.32907253039932,96.80000000000001,7,Tue,0,Clear
University Circle,16.263258024319455,123.19999999999999,7,Tue,0,Clear
Hadapsar,24.394887036479183,79.2,7,Tue,0,Clear
Kothrud,28.460701542559043,66.0,7,Tue,0,Clear
Hinjewadi,11.74733557252036,407.5,1,Tue,0,Rainy
Swargate,22.02625419847567,358.6,1,Tue,0,Rainy
University Circle,8.810501679390269,456.4,1,Tue,0,Rainy
Hadapsar,22.02625419847567,293.40000000000003,1,Tue,0,Rainy
Kothrud,35.97621519084359,244.5,1,Tue,0,Rainy
Hinjewadi,20.87233323787335,402.5,12,Thu,0,Clear
Swargate,26.090416547341682,354.20000000000005,12,Thu,1,Clear
University Circle,20.87233323787335,450.79999999999995,12,Thu,1,Clear
Hadapsar,31.308499856810016,289.8,12,Thu,0,Clear
Kothrud,36.52658316627835,241.5,12,Thu,0,Clear
Hinjewadi,5.889372069278103,485.0,3,Tue,0,Rainy
Swargate,11.042572629896442,426.8,3,Tue,0,Rainy
University Circle,4.417029051958577,543.1999999999999,3,Tue,0,Rainy
